127.0.0.1 - - [13/Dec/2022:13:46:58 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:02 +0700] "GET /QLBNDC/resource/Home/img/162427567193110150521-LON-Loc-6-lon-nuoc-khung-calo-chanh-330ml.jpg;jsessionid=497FF0677C098E082EA1C9ABB460029C HTTP/1.1" 200 26907
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:02 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:33 +0700] "GET /QLBNDC/ HTTP/1.1" 200 26389
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:33 +0700] "GET /QLBNDC/resource/Home/css/style.css HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/asset/logo.png HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/slide1.jpg HTTP/1.1" 200 508373
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/slide2.jpg HTTP/1.1" 200 474320
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/slide3.jpg HTTP/1.1" 200 97051
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/6-lon-nuoc-ngot-7-up-vi-chanh-330ml-202006131621577309.jpg HTTP/1.1" 200 272210
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/162427567193110150521-LON-Loc-6-lon-nuoc-khung-calo-chanh-330ml.jpg HTTP/1.1" 200 26907
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/lavie-1500ml.png HTTP/1.1" 200 131082
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/nuoc-ngot-co-gas-7up-pet-15l-2-org.jpg HTTP/1.1" 200 114859
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/8934822101336.jpg HTTP/1.1" 200 285755
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/bia-tiger-330ml-202012151339189979.jpg HTTP/1.1" 200 80577
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/FinoPackshot_Coduong-1_540x440_acf_cropped.png HTTP/1.1" 200 122424
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/806850103620_nuoc-viva.png HTTP/1.1" 200 359800
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/sua-bich-vinamilk-co-duong-b_eeaab361818e4c66ac34ee6c4e03193f.png HTTP/1.1" 200 534294
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:34 +0700] "GET /QLBNDC/resource/Home/img/nuoc-khoang-lavie-chai-750ml.png HTTP/1.1" 200 156071
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:43 +0700] "GET /QLBNDC/Login/Login.htm HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:43 +0700] "GET /QLBNDC/resource/Login/css/loginstyle.css HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:43 +0700] "GET /QLBNDC/resource/Login/img/logo.png HTTP/1.1" 200 4513
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:45 +0700] "GET /QLBNDC/Home/index.htm HTTP/1.1" 200 26389
0:0:0:0:0:0:0:1 - - [13/Dec/2022:13:47:45 +0700] "GET /QLBNDC/asset/logo.png HTTP/1.1" 404 780
